district,year,loss_ha
Samfya,2006,315.2033629547239
Chongwe,2006,203.6904206015673
Kafue,2006,74.1322520719401
Luangwa,2006,50.91452910766601
Lusaka,2006,2.1375435400390628
Kabompo,2006,2459.593500864593
Kasempa,2006,337.659382562208
Mufumbwe,2006,675.5801494986263
Mwinilunga,2006,3231.882078322658
Solwezi,2006,1961.5147862106983
Chilubi,2006,279.5437374403531
Chinsali,2006,378.1590984069824
Isoka,2006,290.1678558586091
Kaputa,2006,572.9297646243824
Kasama,2006,168.7475086831725
Luwingu,2006,335.7720319876877
Mbala,2006,271.0161169330193
Mpika,2006,806.1271240113263
Mporokoso,2006,301.76454561420513
Mpulungu,2006,183.22746657954198
Mungwi,2006,28.99636280517578
Nakonde,2006,1.1462212463378907
Choma,2006,141.7613129910817
Gwembe,2006,37.88610006555894
Itezhi-tezhi,2006,84.27465939666149
Kalomo,2006,24.402266687011718
Kazungula,2006,21.04234075317383
Livingstone,2006,0.5966207458496093
Mazabuka,2006,52.02866006826364
Monze,2006,35.207002154541016
Namwala,2006,3.0970484375
Siavonga,2006,102.61881482003007
Sinazongwe,2006,36.406931450602215
Kaoma,2006,1864.3009954669067
Mongu,2006,1016.0172782426182
Sesheke,2006,56.28953505859375
Chavuma,2006,583.2707038527544
Zambezi,2006,1495.3079991656853
Kalabo,2006,1483.2784451872942
Lukulu,2006,6904.571856192866
Senanga,2006,360.29759891764326
Shang'ombo,2006,1112.7194026846134
Chibombo,2007,121.16039175608915
Kabwe,2007,0.0
Kapiri-Mposhi,2007,109.84962540053422
Mkushi,2007,1585.7824384363753
Mumbwa,2007,336.48247118776806
Serenje,2007,1006.4192556192075
Chililabombwe,2007,42.523975034155754
Chingola,2007,31.768332581499884
Kalulushi,2007,60.979742504882815
Kitwe,2007,10.81656542401482
Luanshya,2007,9.404243733963312
Lufwanyama,2007,456.8612957138002
Masaiti,2007,69.9485426235543
Mpongwe,2007,148.99072740942862
Mufulira,2007,0.26192249755859376
Ndola,2007,24.257304979200175
Chadiza,2007,134.95547560046626
Chama,2007,832.2937148402315
Chipata,2007,417.5358121110026
Katete,2007,97.63989961753695
Lundazi,2007,1137.3091777166867
Mambwe,2007,160.38982498391545
Nyimba,2007,411.23812834175857
Petauke,2007,231.89332238046686
Chienge,2007,1654.4356188056017
Kawambwa,2007,3201.1835734128463
Mansa,2007,297.9789377254471
Milenge,2007,55.77198073249369
Mwense,2007,2435.568410669735
Nchelenge,2007,2348.993586173407
Samfya,2007,560.0146010040643
Chongwe,2007,175.63354533825444
Kafue,2007,20.50605911254883
Luangwa,2007,215.11332066856235
Lusaka,2007,0.7761451354980469
Kabompo,2007,3352.0906388073968
Kasempa,2007,202.84829891967775
Mufumbwe,2007,312.56237402891867
Mwinilunga,2007,1102.8985656569776
Solwezi,2007,3052.645046335617
Chilubi,2007,1849.216112485567
Chinsali,2007,1187.3162439238424
Isoka,2007,833.983012722934
Kaputa,2007,2454.63008036286
Kasama,2007,1749.9163681743548
Luwingu,2007,2320.1806844525986
Mbala,2007,741.969610567196
Mpika,2007,1120.2933910358024
Mporokoso,2007,1683.3295861046165
Mpulungu,2007,917.745028911444
Mungwi,2007,1538.5330055835439
Nakonde,2007,52.5913173386757
Choma,2007,15.351708154296874
Gwembe,2007,4.199521899414062
Itezhi-tezhi,2007,163.66600583496094
Kalomo,2007,23.27254340209961
Kazungula,2007,64.7193995739028
Livingstone,2007,1.0228190063476563
Mazabuka,2007,6.368789880371094
Monze,2007,2.231708477783203
Namwala,2007,0.7743050842285156
Siavonga,2007,36.16881258544922
Sinazongwe,2007,23.25467854614258
Kaoma,2007,1303.6191670753149
Mongu,2007,388.9049303541236
Sesheke,2007,518.7610800289378
Chavuma,2007,478.4885335726151
Zambezi,2007,2209.0920108381924
Kalabo,2007,3672.2884078006045
Lukulu,2007,754.0909386881989
Senanga,2007,286.55523827596033
Shang'ombo,2007,944.333335603147
Chibombo,2008,1084.213246680597
Kabwe,2008,42.797370989990235
Kapiri-Mposhi,2008,1334.9353665990732
Mkushi,2008,4857.268792887465
Mumbwa,2008,1625.5369676868395
