,district,year,total_pop,urban_pop,pct_urban
600,Kasenengwa,2006,106313.3671875,233.46963500976562,0.0021960515519935135
601,Katete,2006,151758.125,928.0357666015625,0.0061152295246238875
602,Lumezi,2006,101347.84375,0.0,0.0
603,Lundazi,2006,97735.28125,0.0,0.0
604,Mambwe,2006,63981.6484375,0.0,0.0
605,Nyimba,2006,76784.4453125,0.0,0.0
606,Petauke,2006,215862.625,146.43789672851562,0.0006783846751076784
607,Sinda,2006,151000.359375,251.526123046875,0.0016657319498308313
608,Vubwi,2006,27491.625,0.0,0.0
609,Chembe,2006,17526.365234375,0.0,0.0
610,Chiengi,2006,97672.984375,2574.07080078125,0.026353968983874924
611,Chifunabuli,2006,79956.6171875,555.3805541992188,0.006946023653012224
612,Chipili,2006,30257.24609375,24.710548400878906,0.0008166820048432355
613,Kawambwa,2006,83540.84375,3005.9794921875,0.03598215384540571
614,Lunga,2006,24817.0703125,0.0,0.0
615,Mansa,2006,147318.296875,0.0,0.0
616,Milengi,2006,68634.0703125,0.0,0.0
617,Mwansabombwe,2006,47230.015625,1334.193115234375,0.028248839166763986
618,Mwense,2006,85561.546875,673.3844604492188,0.007870176323868838
619,Nchelenge,2006,143733.90625,1754.610107421875,0.012207350048429336
620,Samfya,2006,84677.03125,0.0,0.0
621,Chilanga,2006,160077.515625,1089.635009765625,0.0068069210439161264
622,Chirundu,2006,32076.00390625,0.0,0.0
623,Chongwe,2006,165893.71875,35568.0703125,0.2144027548511387
624,Kafue,2006,106816.9453125,7074.255859375,0.06622784277044058
625,Luangwa,2006,22392.548828125,97.95527648925781,0.004374458541594254
626,Lusaka,2006,1269421.125,816947.4375,0.6435590375888852
627,Rufunsa,2006,47974.62890625,4.965498447418213,0.00010350259211220958
628,Shibuyunji,2006,47348.5703125,0.0,0.0
629,Chama,2006,89645.0078125,0.0,0.0
630,Chinsali,2006,88319.3984375,0.0,0.0
631,Isoka,2006,64782.69140625,0.0,0.0
632,Kanchibiya,2006,53997.953125,35.71212387084961,0.0006613606961763814
633,Lavushimanda,2006,32354.03515625,4.893126487731934,0.00015123697752385926
634,Mafinga,2006,61066.19921875,0.0,0.0
635,Mpika,2006,100628.5234375,1395.4796142578125,0.013867634807585542
636,Nakonde,2006,100074.6328125,2080.844482421875,0.02079292647838687
637,Shiwamg'andu,2006,59351.01953125,0.0,0.0
638,Chavuma,2006,33278.95703125,112.06108856201172,0.0033673257385074535
639,Ikelenge,2006,28596.09375,59.14203643798828,0.0020681858492644046
640,Kabompo,2006,39379.20703125,0.0,0.0
641,Kalumbila,2006,55691.62890625,0.0,0.0
642,Kasempa,2006,66287.5,205.8426971435547,0.0031053018614905477
643,Manyinga,2006,43358.59375,0.0,0.0
644,Mufumbwe,2006,53530.71875,2.7415425777435303,5.1214380112232856e-05
645,Mushindano,2006,22588.912109375,0.0,0.0
646,Mwinilunga,2006,93252.6875,359.43060302734375,0.003854372594112569
647,Solwezi,2006,149242.25,6803.23388671875,0.045585173680500995
648,Zambezi,2006,73469.671875,22.928754806518555,0.00031208462242119625
649,Chilubi,2006,85505.765625,65.405029296875,0.0007649195211434024
650,Kaputa,2006,58948.359375,1185.9869384765625,0.020119083059324964
651,Kasama,2006,218240.921875,871.918701171875,0.00399521177642054
652,Lunte District,2006,54509.3828125,57.171653747558594,0.0010488405995022216
653,Lupososhi,2006,44116.1953125,18.374496459960938,0.00041650229195432586
654,Luwingu,2006,56843.2265625,0.0,0.0
655,Mbala,2006,104367.046875,1247.23681640625,0.011950484887246648
656,Mporokoso,2006,38945.52734375,188.5484161376953,0.004841336836281244
657,Mpulungu,2006,91411.734375,18.039371490478516,0.00019734196724104674
658,Mungwi,2006,134880.421875,0.0,0.0
659,Nsama,2006,52692.87109375,118.7149429321289,0.0022529602291155074
660,Senga Hill,2006,80021.7734375,17.92617416381836,0.00022401620701170005
661,Chikankanta,2006,70858.65625,0.0,0.0
662,Choma,2006,185922.859375,8281.79296875,0.04454424268532741
663,Gwembe,2006,46041.84375,0.0,0.0
664,Kalomo,2006,154184.796875,407.62713623046875,0.0026437570012881255
665,Kazungula,2006,95766.4375,0.0,0.0
666,Livingstone,2006,132421.421875,22242.796875,0.16796977830366616
667,Mazabuka,2006,157627.328125,5444.20654296875,0.034538468727018205
668,Monze,2006,191785.140625,7238.23828125,0.03774139256910952
669,Namwala,2006,94789.21875,99.33321380615234,0.0010479378890983035
670,Pemba,2006,53887.34375,0.0,0.0
671,Siavonga,2006,44104.03125,0.0,0.0
672,Sinazongwe,2006,99478.0234375,0.0,0.0
673,Zimba,2006,64649.22265625,0.0,0.0
674,Kalabo,2006,88177.5234375,0.0,0.0
675,Kaoma,2006,103151.8359375,371.20098876953125,0.003598588288767279
676,Limulunga,2006,47949.6796875,1820.97607421875,0.03797681415363991
677,Luampa,2006,47580.796875,41.34258270263672,0.0008688921879818079
678,Lukulu,2006,51174.45703125,3.2554874420166016,6.361547597913189e-05
679,Mitete,2006,25546.095703125,0.0,0.0
680,Mongu,2006,142199.703125,12987.470703125,0.09133261475031648
681,Mulobezi,2006,26638.20703125,9.544187545776367,0.0003582894124435561
682,Mwandi,2006,31217.205078125,0.0,0.0
683,Nalolo,2006,52121.73828125,123.72390747070312,0.002373748680504213
684,Nkeyema,2006,37674.21484375,0.0,0.0
685,Senanga,2006,67763.046875,21.69713592529297,0.0003201912683371053
686,Sesheke,2006,34973.58203125,0.0,0.0
687,Shang'ombo,2006,35242.3203125,0.0,0.0
688,Sikongo,2006,40400.9375,5.245156764984131,0.00012982760028734804
689,Sioma,2006,50571.97265625,94.29527282714844,0.0018645757298829599
690,Chibombo,2007,344863.53125,18855.37109375,0.05467487682854259
691,Chisamba,2007,107227.515625,7.77073860168457,7.24696320379247e-05
692,Chitambo,2007,79041.4140625,0.0,0.0
693,Itezhi-tezhi,2007,68397.3828125,58.5249137878418,0.0008556601346615567
694,Kabwe,2007,203990.703125,36747.8984375,0.18014496677812752
695,Kapiri Mposhi,2007,185955.328125,2974.498046875,0.015995766708418967
696,Luano,2007,25329.44140625,4.3656744956970215,0.00017235573519674218
697,Mkushi,2007,118670.859375,223.18235778808594,0.0018806837581147832
698,Mumbwa,2007,166193.09375,3676.980224609375,0.02212474743469522
699,Ngabwe,2007,52056.6015625,0.0,0.0
700,Serenje,2007,83580.484375,372.0599365234375,0.004451516873892698
701,Chililabombwe,2007,85465.2421875,14420.51171875,0.1687295484065114
702,Chingola,2007,210850.359375,87022.2890625,0.41272061058112675
703,Kalulushi,2007,69084.3046875,5112.283203125,0.07400064640225015
704,Kitwe,2007,532773.4375,185109.75,0.34744553119730187
705,Luanshya,2007,158612.421875,29285.83984375,0.18463774462021468
706,Lufwanyama,2007,73926.484375,31.905956268310547,0.0004315903365086884
707,Masaiti,2007,104041.109375,0.0,0.0
708,Mpongwe,2007,86529.0390625,0.0,0.0
709,Mufulira,2007,138861.875,43649.2578125,0.3143357945620423
710,Ndola,2007,438006.5625,162138.65625,0.3701740342075354
711,Chadiza,2007,68965.8828125,505.809814453125,0.007334203432562273
712,Chasefu,2007,91619.0,0.0,0.0
713,Chipangali,2007,114742.375,0.0,0.0
714,Chipata,2007,225233.84375,6042.73486328125,0.026828716158609045
715,Kasenengwa,2007,108417.015625,247.08578491210938,0.002279031418525171
716,Katete,2007,155000.765625,911.4642944335938,0.00588038575653709
717,Lumezi,2007,104644.4921875,0.0,0.0
718,Lundazi,2007,100902.640625,0.0,0.0
719,Mambwe,2007,66109.96875,0.0,0.0
720,Nyimba,2007,78368.0,0.0,0.0
721,Petauke,2007,220553.1875,144.8076629638672,0.0006565657227867867
722,Sinda,2007,155042.8125,256.0313720703125,0.001651359182292391
723,Vubwi,2007,28879.966796875,0.0,0.0
724,Chembe,2007,20284.5390625,0.0,0.0
725,Chiengi,2007,100590.140625,2721.266845703125,0.027053017609827257
726,Chifunabuli,2007,81207.90625,627.1710205078125,0.007723029067847843
727,Chipili,2007,30669.8359375,27.613689422607422,0.0009003533464893489
