district,year,mean_start_day,start_date
Kabwe,2004,319.8888888888889,November 15
Kapiri Mposhi,2004,317.9449541284404,November 13
Luano,2004,322.79487179487177,November 18
Mkushi,2004,319.55,November 15
Mumbwa,2004,330.3164556962025,November 26
Ngabwe,2004,309.3375,November 05
Serenje,2004,323.6222222222222,November 19
Chililabombwe,2004,310.6875,November 06
Chingola,2004,310.9047619047619,November 06
Kalulushi,2004,310.0,November 06
Kitwe,2004,307.26666666666665,November 03
Luanshya,2004,310.1111111111111,November 06
Lufwanyama,2004,312.30232558139534,November 08
Masaiti,2004,312.47727272727275,November 08
Mpongwe,2004,313.5625,November 09
Mufulira,2004,307.625,November 03
Ndola,2004,308.7692307692308,November 04
Chadiza,2004,312.6875,November 08
Chasefu,2004,310.2307692307692,November 06
Chipangali,2004,327.741935483871,November 23
Chipata,2004,316.65,November 12
Kasenengwa,2004,325.1363636363636,November 21
Katete,2004,313.76666666666665,November 09
Lumezi,2004,332.3688524590164,November 28
Lundazi,2004,324.94117647058823,November 20
Mambwe,2004,327.88732394366195,November 23
Nyimba,2004,309.1496062992126,November 05
Petauke,2004,309.82954545454544,November 05
Sinda,2004,307.09090909090907,November 03
Vubwi,2004,311.8181818181818,November 07
Chembe,2004,305.4583333333333,November 01
Chiengi,2004,287.2173913043478,October 14
Chifunabuli,2004,304.97297297297297,October 31
Chipili,2004,303.35849056603774,October 30
Kawambwa,2004,299.97872340425533,October 26
Lunga,2004,316.2325581395349,November 12
Mansa,2004,304.7391304347826,October 31
Milengi,2004,310.48,November 06
Mwansabombwe,2004,293.875,October 20
Mwense,2004,303.4230769230769,October 30
Nchelenge,2004,287.4897959183673,October 14
Samfya,2004,314.5,November 10
Chilanga,2004,328.4117647058824,November 24
Chirundu,2004,331.0,November 27
Chongwe,2004,328.9642857142857,November 24
Kafue,2004,330.0701754385965,November 26
Luangwa,2004,331.3333333333333,November 27
Lusaka,2004,328.0,November 24
Rufunsa,2004,328.3565217391304,November 24
Shibuyunji,2004,328.6,November 24
Chama,2004,327.75471698113205,November 23
Chinsali,2004,330.1666666666667,November 26
Isoka,2004,331.0967741935484,November 27
Kanchibiya,2004,322.0,November 18
Lavushimanda,2004,326.1676300578035,November 22
Mafinga,2004,331.1276595744681,November 27
Mpika,2004,329.1116504854369,November 25
Nakonde,2004,330.37254901960785,November 26
Shiwamg'andu,2004,326.3119266055046,November 22
Chavuma,2004,303.0925925925926,October 30
Ikelenge,2004,287.4583333333333,October 14
Kabompo,2004,323.3529411764706,November 19
Kalumbila,2004,303.4203821656051,October 30
Kasempa,2004,314.52830188679246,November 10
Manyinga,2004,314.1720430107527,November 10
Mufumbwe,2004,317.390134529148,November 13
Mushindano,2004,306.1929824561403,November 02
Mwinilunga,2004,289.7873303167421,October 16
Solwezi,2004,308.734693877551,November 04
Zambezi,2004,306.1065088757396,November 02
Chilubi,2004,312.3225806451613,November 08
Kaputa,2004,292.1290322580645,October 19
Kasama,2004,319.1796875,November 15
Lunte District,2004,306.5473684210526,November 02
Lupososhi,2004,303.67391304347825,October 30
Luwingu,2004,307.87719298245617,November 03
Mbala,2004,329.55263157894734,November 25
Mporokoso,2004,297.9574468085106,October 24
Mpulungu,2004,323.9186991869919,November 19
Mungwi,2004,329.4869565217391,November 25
Nsama,2004,301.64835164835165,October 28
Senga Hill,2004,329.0344827586207,November 25
Chikankanta,2004,329.1666666666667,November 25
Choma,2004,337.35593220338984,December 03
Gwembe,2004,332.6875,November 28
Kalomo,2004,339.08,December 05
Kazungula,2004,338.4732142857143,December 04
Livingstone,2004,341.0,December 07
Mazabuka,2004,328.6304347826087,November 24
Monze,2004,328.26666666666665,November 24
Namwala,2004,334.3939393939394,November 30
Pemba,2004,334.16,November 30
Siavonga,2004,331.0,November 27
Sinazongwe,2004,340.26229508196724,December 06
Zimba,2004,340.2238805970149,December 06
Kalabo,2004,331.042372881356,November 27
Kaoma,2004,316.6181818181818,November 12
Limulunga,2004,318.02272727272725,November 14
Luampa,2004,319.2063492063492,November 15
Lukulu,2004,317.0,November 13
Mitete,2004,307.0921052631579,November 03
Mongu,2004,321.72,November 17
Mulobezi,2004,329.6,November 25
Mwandi,2004,344.4805194805195,December 10
Nalolo,2004,357.93220338983053,December 23
Nkeyema,2004,316.35555555555555,November 12
Senanga,2004,345.62595419847327,December 11
Sesheke,2004,356.40287769784175,December 22
Shang'ombo,2004,360.77319587628864,December 26
Sikongo,2004,350.30434782608694,December 16
Sioma,2004,363.1,December 29
Chibombo,2005,324.58181818181816,November 20
Chisamba,2005,333.95238095238096,November 29
Chitambo,2005,335.32394366197184,December 01
Itezhi-tezhi,2005,318.1212121212121,November 14
Kabwe,2005,333.1666666666667,November 29
Kapiri Mposhi,2005,326.8256880733945,November 22
Luano,2005,335.0683760683761,December 01
Mkushi,2005,334.67,November 30
Mumbwa,2005,313.084388185654,November 09
Ngabwe,2005,314.2875,November 10
Serenje,2005,336.3111111111112,December 02
Chililabombwe,2005,312.0,November 08
Chingola,2005,312.5238095238095,November 08
Kalulushi,2005,313.0,November 09
Kitwe,2005,313.0,November 09
Luanshya,2005,313.0,November 09
Lufwanyama,2005,312.4496124031008,November 08
Masaiti,2005,313.45454545454544,November 09
Mpongwe,2005,312.61607142857144,November 08
Mufulira,2005,312.75,November 08
Ndola,2005,313.0,November 09
Chadiza,2005,334.0,November 30
Chasefu,2005,348.1923076923077,December 14
Chipangali,2005,334.0,November 30
Chipata,2005,334.0,November 30
Kasenengwa,2005,334.0,November 30
Katete,2005,334.1333333333333,November 30
Lumezi,2005,334.11475409836066,November 30
Lundazi,2005,337.11764705882354,December 03
Mambwe,2005,335.50704225352115,December 01
Nyimba,2005,335.7716535433071,December 01
Petauke,2005,335.1136363636364,December 01
Sinda,2005,334.7575757575757,November 30
Vubwi,2005,334.0,November 30
Chembe,2005,312.0,November 08
Chiengi,2005,305.80434782608694,November 01
Chifunabuli,2005,332.27027027027026,November 28
Chipili,2005,326.8490566037736,November 22
Kawambwa,2005,300.67021276595744,October 27
Lunga,2005,314.95348837209303,November 10
Mansa,2005,313.42391304347825,November 09
Milengi,2005,318.93333333333334,November 14
Mwansabombwe,2005,296.3125,October 23
Mwense,2005,309.61538461538464,November 05
Nchelenge,2005,294.0408163265306,October 21
Samfya,2005,322.45,November 18
Chilanga,2005,333.94117647058823,November 29
Chirundu,2005,333.77272727272725,November 29
Chongwe,2005,334.0,November 30
Kafue,2005,334.05263157894734,November 30
Luangwa,2005,335.125,December 01
Lusaka,2005,334.0,November 30
Rufunsa,2005,334.5130434782609,November 30
Shibuyunji,2005,330.2,November 26
Chama,2005,346.4339622641509,December 12
Chinsali,2005,350.0769230769231,December 16
Isoka,2005,352.6774193548387,December 18
Kanchibiya,2005,313.20388349514565,November 09
Lavushimanda,2005,333.1676300578035,November 29
Mafinga,2005,353.27659574468083,December 19
Mpika,2005,321.47087378640776,November 17
Nakonde,2005,340.6666666666667,December 06
Shiwamg'andu,2005,318.3211009174312,November 14
Chavuma,2005,302.22222222222223,October 29
Ikelenge,2005,300.125,October 27
Kabompo,2005,309.8235294117647,November 05
Kalumbila,2005,311.09554140127386,November 07
Kasempa,2005,312.188679245283,November 08
Manyinga,2005,310.5376344086022,November 06
Mufumbwe,2005,311.86995515695065,November 07
Mushindano,2005,311.64912280701753,November 07
Mwinilunga,2005,304.3484162895928,October 31
Solwezi,2005,311.7074829931973,November 07
Zambezi,2005,306.56804733727813,November 02
Chilubi,2005,325.8709677419355,November 21
Kaputa,2005,301.3709677419355,October 28
