district,year,mean_start_day
Kalumbila,2010,303.62420382165607
Kasempa,2010,313.811320754717
Manyinga,2010,301.6559139784946
Mufumbwe,2010,312.2062780269058
Mushindano,2010,315.5263157894737
Mwinilunga,2010,295.9547511312217
Solwezi,2010,311.2448979591837
Zambezi,2010,301.0
Chilubi,2010,320.30645161290323
Kaputa,2010,292.1290322580645
Kasama,2010,326.4140625
Lunte District,2010,312.05263157894734
Lupososhi,2010,314.95652173913044
Luwingu,2010,319.43859649122805
Mbala,2010,322.89473684210526
Mporokoso,2010,299.70212765957444
Mpulungu,2010,315.9105691056911
Mungwi,2010,328.09565217391304
Nsama,2010,302.3296703296703
Senga Hill,2010,326.3965517241379
Chikankanta,2010,328.0
Choma,2010,321.96610169491527
Gwembe,2010,328.8958333333333
Kalomo,2010,316.0
Kazungula,2010,316.45535714285717
Livingstone,2010,317.22222222222223
Mazabuka,2010,327.7608695652174
Monze,2010,327.8
Namwala,2010,318.59090909090907
Pemba,2010,328.72
Siavonga,2010,328.1304347826087
Sinazongwe,2010,330.11475409836066
Zimba,2010,323.2686567164179
Kalabo,2010,316.6186440677966
Kaoma,2010,313.4
Limulunga,2010,315.34090909090907
Luampa,2010,314.8015873015873
Lukulu,2010,311.991452991453
Mitete,2010,311.25
Mongu,2010,315.76
Mulobezi,2010,316.20666666666665
Mwandi,2010,280.2857142857143
Nalolo,2010,317.5762711864407
Nkeyema,2010,314.44444444444446
Senanga,2010,316.25954198473283
Sesheke,2010,313.0935251798561
Shang'ombo,2010,320.64948453608247
Sikongo,2010,317.32608695652175
Sioma,2010,320.25
Chibombo,2011,340.53636363636366
Chisamba,2011,343.984126984127
Chitambo,2011,350.86619718309856
Itezhi-tezhi,2011,338.95454545454544
Kabwe,2011,339.3888888888889
Kapiri Mposhi,2011,341.8807339449541
Luano,2011,348.7521367521368
Mkushi,2011,350.0
Mumbwa,2011,338.8523206751055
Ngabwe,2011,338.2
Serenje,2011,350.97777777777776
Chililabombwe,2011,337.5625
Chingola,2011,336.7142857142857
Kalulushi,2011,337.6666666666667
Kitwe,2011,339.1333333333333
Luanshya,2011,338.77777777777777
Lufwanyama,2011,337.1860465116279
Masaiti,2011,347.09090909090907
Mpongwe,2011,338.33035714285717
Mufulira,2011,339.25
Ndola,2011,347.0
Chadiza,2011,351.4375
Chasefu,2011,351.0
Chipangali,2011,351.7096774193548
Chipata,2011,351.6
Kasenengwa,2011,351.22727272727275
Katete,2011,351.03333333333336
Lumezi,2011,351.0983606557377
Lundazi,2011,351.05882352941177
Mambwe,2011,351.76056338028167
Nyimba,2011,350.59842519685037
Petauke,2011,351.03409090909093
Sinda,2011,351.0
Vubwi,2011,352.0
Chembe,2011,341.8333333333333
Chiengi,2011,300.0652173913044
Chifunabuli,2011,343.9189189189189
Chipili,2011,338.0188679245283
Kawambwa,2011,336.21276595744683
Lunga,2011,348.25581395348837
Mansa,2011,342.05434782608694
Milengi,2011,344.68
Mwansabombwe,2011,335.0
Mwense,2011,337.34615384615387
Nchelenge,2011,331.9795918367347
Samfya,2011,347.4
Chilanga,2011,347.11764705882354
Chirundu,2011,349.54545454545456
Chongwe,2011,349.0
Kafue,2011,348.56140350877195
Luangwa,2011,350.0833333333333
Lusaka,2011,349.0
Rufunsa,2011,348.76521739130436
Shibuyunji,2011,341.1
Chama,2011,350.72169811320754
Chinsali,2011,350.0
Isoka,2011,350.0
Kanchibiya,2011,350.378640776699
Lavushimanda,2011,350.7225433526012
Mafinga,2011,350.06382978723406
Mpika,2011,351.0
Nakonde,2011,349.45098039215685
Shiwamg'andu,2011,350.5045871559633
Chavuma,2011,275.0
Ikelenge,2011,275.0
Kabompo,2011,276.0
Kalumbila,2011,287.8789808917197
Kasempa,2011,337.5132075471698
Manyinga,2011,276.9462365591398
Mufumbwe,2011,328.23766816143495
Mushindano,2011,335.2280701754386
Mwinilunga,2011,275.1131221719457
Solwezi,2011,331.4761904761905
Zambezi,2011,279.0887573964497
Chilubi,2011,346.258064516129
Kaputa,2011,331.0483870967742
Kasama,2011,346.8515625
Lunte District,2011,339.7578947368421
