district,year,forest_cover_ha,loss_m2,percent_loss_annual
Mumbwa,2008,368935.75587397645,16255369.676868394,0.43866885157414787
Mumbwa,2009,367690.9658390137,12447900.349627804,0.3374002153881729
Mumbwa,2010,365594.47866991063,20964871.691030703,0.5701764154904411
Mumbwa,2011,365111.29216893326,4831865.009773524,0.13216460564045163
Mumbwa,2012,363937.4983433703,11737938.255630074,0.32148932414281645
Mumbwa,2013,361360.4931587284,25770051.846418552,0.7080900419363999
Mumbwa,2014,356916.66723174637,44438259.269820146,1.229748688944271
Mumbwa,2015,353729.61045475357,31870567.769928575,0.8929414257147867
Mumbwa,2016,350700.1449171014,30294655.376521092,0.8564353811820953
Mumbwa,2017,346584.02272677515,41161221.90326239,1.1736870514550852
Mumbwa,2018,342906.93944523536,36770832.81539809,1.0609500266659977
Mumbwa,2019,339525.28652881115,33816529.164241776,0.9861722022584648
Mumbwa,2020,334080.1978244034,54450887.044077426,1.603735839553054
Mumbwa,2021,328376.75394630875,57034438.78094674,1.7072080043165183
Mumbwa,2022,320741.97297291376,76347809.73395038,2.325006530347566
Mungwi,2001,166119.25103561932,4279399.238580921,0.25694814868550625
Mungwi,2002,165462.3797358494,6568712.997699573,0.3954215394512649
Mungwi,2003,164729.68004882563,7326996.870237582,0.4428195026527896
Mungwi,2004,164701.20205789845,284779.90927159926,0.01728771094481522
Mungwi,2005,163984.98168621364,7162203.716848097,0.4348604398363968
Mungwi,2006,163955.98532340847,289963.6280517578,0.017682328288245636
Mungwi,2007,162417.4523178249,15385330.05583544,0.9383817263814663
Mungwi,2008,161957.88826043243,4595640.573924824,0.28295238647949555
Mungwi,2009,160758.36923646138,11995190.23971067,0.7406363696482691
Mungwi,2010,159057.31913724542,17010500.992159497,1.058140927464781
Mungwi,2011,158878.62611113023,1786930.2611517212,0.11234505088130128
Mungwi,2012,158593.18005214128,2854460.5898894668,0.17966297039180512
Mungwi,2013,157909.75983376065,6834202.183806535,0.430926612453299
Mungwi,2014,156892.08384908928,10176759.846713435,0.6444668054353961
Mungwi,2015,155917.17727545457,9749065.736347273,0.6213867199140948
Mungwi,2016,154106.2464395385,18109308.35916078,1.1614697415389688
Mungwi,2017,151913.88793147518,21923585.080632947,1.4226279328161024
Mungwi,2018,150667.73155729222,12461563.741829665,0.8203044442816699
Mungwi,2019,148777.44298124596,18902885.760462623,1.2546074441477004
Mungwi,2020,147113.22486950984,16642181.117361272,1.1185957214938214
Mungwi,2021,145111.75294768976,20014719.218200687,1.360497619160605
Mungwi,2022,142509.21604518438,26025369.025054093,1.7934707903663587
Mwense,2001,408935.07354714075,3667302.774101706,0.0895989888105578
Mwense,2002,405374.3890260823,35606845.21058469,0.8707212345893351
Mwense,2003,404117.2915832586,12570974.428236779,0.3101077613324
Mwense,2004,403573.3070289719,5439845.542866785,0.13461056124459442
Mwense,2005,402806.12766918354,7671793.597883876,0.19009665565748454
Mwense,2006,401670.11931499577,11360083.541877776,0.282023602957887
Mwense,2007,399234.550904326,24355684.106697354,0.6063603672643934
Mwense,2008,398537.03823787725,6975126.664487591,0.1747125004258245
Mwense,2009,396016.0123053319,25210259.325453814,0.6325700476151582
Mwense,2010,387836.580535151,81794317.70180903,2.0654295573974135
Mwense,2011,387819.4308531564,171496.81994628906,0.004421883560071913
Mwense,2012,380978.8316158102,68405992.3734612,1.763861914370206
Mwense,2013,379037.086474365,19417451.414452404,0.5096727115283273
Mwense,2014,377020.3518448238,20167346.295412067,0.5320678903217568
Mwense,2015,375256.5003933613,17638514.51462474,0.4678398507750718
Mwense,2016,372022.1717665673,32343286.267940745,0.8618980946109396
Mwense,2017,367983.9676099753,40382041.565919645,1.085474055865094
Mwense,2018,362866.3024922576,51176651.17717644,1.390730457893708
Mwense,2019,359152.08014652005,37142223.457375914,1.02357874518173
Mwense,2020,353586.9355607004,55651445.858196184,1.5495231389302426
Mwense,2021,349650.95502267976,39359805.38020666,1.1131577957707022
Mwense,2022,345362.6094239962,42883455.98683579,1.2264647177655843
Mwinilunga,2001,1837092.385715693,15695753.4434757,0.08536508491439426
Mwinilunga,2002,1834232.993244611,28593924.710818306,0.15564772318012035
Mwinilunga,2003,1832934.034117667,12989591.269441014,0.07081756416595401
Mwinilunga,2004,1829743.8665462963,31901675.71370658,0.17404704762909445
Mwinilunga,2005,1825963.9805911784,37798859.551178575,0.20658005878454017
Mwinilunga,2006,1822732.0985128558,32318820.783226583,0.1769959381825427
Mwinilunga,2007,1821629.1999471989,11028985.656569775,0.06050799053557122
Mwinilunga,2008,1819375.1238433754,22540761.038234096,0.12373956806844914
Mwinilunga,2009,1803285.2503561769,160898734.87198797,0.8843626185901355
Mwinilunga,2010,1790294.6228338745,129906275.22302127,0.7203867230509581
Mwinilunga,2011,1782595.719758566,76989030.75308765,0.43003553588973514
Mwinilunga,2012,1780553.1823018058,20425374.56760206,0.114582203587746
Mwinilunga,2013,1776654.2092667168,38989730.35088967,0.21897537652026652
Mwinilunga,2014,1773010.7491724675,36434600.9424922,0.20507423871485916
Mwinilunga,2015,1767618.296473634,53924526.98833631,0.3041410042973793
Mwinilunga,2016,1761975.0624333115,56432340.40322361,0.3192563717845934
Mwinilunga,2017,1754339.3314715195,76357309.61792135,0.4333620335833293
Mwinilunga,2018,1748188.3722281707,61509592.433486044,0.35061399656298253
Mwinilunga,2019,1743873.1251039319,43152471.242390946,0.24684108376370525
Mwinilunga,2020,1739654.465197317,42186599.06614703,0.24191323588195549
Mwinilunga,2021,1734219.9721437783,54344930.53538722,0.31238922224260923
Mwinilunga,2022,1729645.5428969902,45744292.467880905,0.2637744530835584
Nakonde,2001,5547.831585176978,585601.7223836263,1.0445251557903983
Nakonde,2002,5491.3617878136965,564697.9736328125,1.0178715142355903
Nakonde,2003,5401.542503733388,898192.8408030791,1.6356468131390067
Nakonde,2004,5399.513674045888,20288.296875,0.03756019111388519
Nakonde,2005,5374.369840488759,251438.33557128906,0.46566848562656715
Nakonde,2006,5373.223619242422,11462.212463378906,0.02132754686331096
Nakonde,2007,5320.632301903745,525913.173386757,0.9787665853015555
Nakonde,2008,5267.609434354152,530228.6754959405,0.996551998728088
Nakonde,2009,5081.005170138681,1866042.6421547085,3.5424848129111517
Nakonde,2010,4892.868370999803,1881367.9913887773,3.7027476422296717
