district,year,mean_start_day,start_date,mean_growing_period,mean_end_day,end_date
Chilubi,2015,325.0,November 21,175.9516129032258,500.9516129032258,May 14
Chilubi,2016,323.9516129032258,November 19,175.66129032258064,499.61290322580646,May 13
Chilubi,2017,327.2741935483871,November 23,169.9516129032258,497.22580645161287,May 12
Chilubi,2018,327.06451612903226,November 23,172.3709677419355,499.43548387096774,May 14
Chilubi,2019,343.7258064516129,December 09,164.2741935483871,508.0,May 22
Chilubi,2020,336.43548387096774,December 02,172.4516129032258,508.88709677419354,May 22
Chilubi,2021,323.30645161290323,November 19,165.40322580645162,488.7096774193549,May 03
Chingola,2000,307.0,November 03,183.66666666666663,490.66666666666663,May 04
Chingola,2001,299.23809523809524,October 26,189.66666666666663,488.90476190476187,May 03
Chingola,2002,306.0,November 02,193.66666666666663,499.66666666666663,May 14
Chingola,2003,323.0,November 19,176.1904761904762,499.1904761904762,May 13
Chingola,2004,310.9047619047619,November 06,185.8095238095238,496.7142857142857,May 10
Chingola,2005,312.5238095238095,November 08,176.04761904761904,488.57142857142856,May 03
Chingola,2006,311.57142857142856,November 07,190.0,501.57142857142856,May 16
Chingola,2007,303.8095238095238,October 30,183.66666666666663,487.4761904761904,May 01
Chingola,2008,315.4761904761905,November 11,168.33333333333334,483.80952380952385,April 27
Chingola,2009,298.7142857142857,October 25,206.8571428571429,505.5714285714286,May 20
Chingola,2010,316.0,November 12,173.9047619047619,489.9047619047619,May 04
Chingola,2011,336.7142857142857,December 02,152.95238095238096,489.6666666666667,May 03
Chingola,2012,312.7619047619048,November 08,179.0952380952381,491.8571428571429,May 05
Chingola,2013,298.0,October 25,193.1904761904762,491.1904761904762,May 06
Chingola,2014,324.0,November 20,170.23809523809524,494.23809523809524,May 09
Chingola,2015,323.7142857142857,November 19,170.0,493.7142857142857,May 07
Chingola,2016,322.04761904761904,November 18,171.33333333333334,493.3809523809524,May 07
Chingola,2017,327.2857142857143,November 23,165.71428571428572,493.0,May 08
Chingola,2018,316.95238095238096,November 12,184.42857142857144,501.3809523809524,May 16
Chingola,2019,344.0,December 10,159.0952380952381,503.0952380952381,May 17
Chingola,2020,336.0,December 02,171.66666666666666,507.66666666666663,May 21
Chingola,2021,321.04761904761904,November 17,165.47619047619048,486.5238095238095,May 01
Chinsali,2000,307.79487179487177,November 03,179.0,486.79487179487177,April 30
Chinsali,2001,319.2564102564103,November 15,163.56410256410257,482.8205128205128,April 27
Chinsali,2002,313.11538461538464,November 09,174.52564102564102,487.64102564102564,May 02
Chinsali,2003,332.9230769230769,November 28,164.51282051282053,497.43589743589746,May 11
Chinsali,2004,330.1666666666667,November 26,173.01282051282053,503.1794871794872,May 17
Chinsali,2005,350.0769230769231,December 16,137.07692307692307,487.1538461538462,May 02
Chinsali,2006,320.948717948718,November 16,197.96153846153845,518.9102564102565,June 02
Chinsali,2007,325.6666666666667,November 21,168.53846153846155,494.20512820512823,May 08
Chinsali,2008,321.06410256410254,November 17,158.37179487179486,479.4358974358974,April 23
Chinsali,2009,313.2307692307692,November 09,172.03846153846155,485.2692307692308,April 30
Chinsali,2010,329.05128205128204,November 25,151.98717948717947,481.03846153846155,April 26
Chinsali,2011,350.0,December 16,146.52564102564102,496.525641025641,May 10
Chinsali,2012,317.12820512820514,November 13,190.78205128205127,507.9102564102564,May 21
Chinsali,2013,316.29487179487177,November 12,170.5,486.79487179487177,May 01
Chinsali,2014,328.70512820512823,November 24,167.34615384615384,496.0512820512821,May 11
Chinsali,2015,325.93589743589746,November 21,167.2948717948718,493.2307692307693,May 07
Chinsali,2016,326.5128205128205,November 22,173.51282051282053,500.025641025641,May 14
Chinsali,2017,326.64102564102564,November 22,163.2948717948718,489.93589743589746,May 04
Chinsali,2018,336.2435897435897,December 02,161.8846153846154,498.1282051282051,May 13
Chinsali,2019,340.948717948718,December 06,168.02564102564102,508.974358974359,May 22
Chinsali,2020,338.56410256410254,December 04,162.76923076923077,501.3333333333333,May 15
Chinsali,2021,325.0128205128205,November 21,166.2051282051282,491.21794871794873,May 06
Chipangali,2000,309.741935483871,November 05,184.5483870967742,494.2903225806452,May 08
Chipangali,2001,340.2258064516129,December 06,146.96774193548387,487.1935483870968,May 02
Chipangali,2002,341.1290322580645,December 07,147.38709677419354,488.51612903225805,May 03
Chipangali,2003,336.83870967741933,December 02,152.7741935483871,489.61290322580646,May 03
Chipangali,2004,327.741935483871,November 23,172.25806451612902,500.0,May 14
Chipangali,2005,334.0,November 30,133.90322580645162,467.9032258064516,April 12
Chipangali,2006,322.0967741935484,November 18,178.93548387096774,501.03225806451616,May 16
Chipangali,2007,337.7096774193548,December 03,141.16129032258064,478.8709677419355,April 22
Chipangali,2008,329.93548387096774,November 25,147.1290322580645,477.06451612903226,April 21
Chipangali,2009,316.06451612903226,November 12,175.5806451612903,491.64516129032256,May 06
Chipangali,2010,328.7096774193548,November 24,156.3548387096774,485.0645161290322,April 30
Chipangali,2011,351.7096774193548,December 17,131.29032258064515,483.0,April 27
Chipangali,2012,314.80645161290323,November 10,175.38709677419354,490.19354838709677,May 04
Chipangali,2013,335.0,December 01,150.03225806451613,485.0322580645161,April 30
Chipangali,2014,325.0,November 21,163.16129032258064,488.1612903225806,May 03
Chipangali,2015,326.0,November 22,158.29032258064515,484.2903225806451,April 28
Chipangali,2016,330.61290322580646,November 26,160.1290322580645,490.741935483871,May 04
Chipangali,2017,333.2903225806452,November 29,158.25806451612902,491.5483870967742,May 06
Chipangali,2018,331.93548387096774,November 27,165.93548387096774,497.8709677419355,May 12
Chipangali,2019,346.0,December 12,153.4193548387097,499.4193548387097,May 13
Chipangali,2020,338.7096774193548,December 04,159.25806451612902,497.96774193548384,May 11
Chipangali,2021,358.7096774193548,December 24,115.74193548387096,474.4516129032258,April 19
Chipata,2000,308.6,November 04,192.85,501.45000000000005,May 15
Chipata,2001,339.2,December 05,152.65,491.85,May 06
Chipata,2002,320.6,November 16,170.05,490.65000000000003,May 05
Chipata,2003,336.95,December 02,154.7,491.65,May 05
Chipata,2004,316.65,November 12,188.8,505.45,May 19
Chipata,2005,334.0,November 30,134.85,468.85,April 13
Chipata,2006,322.0,November 18,181.55,503.55,May 18
Chipata,2007,336.25,December 02,149.2,485.45,April 29
Chipata,2008,329.2,November 25,161.1,490.29999999999995,May 04
Chipata,2009,317.0,November 13,179.45,496.45,May 11
Chipata,2010,327.85,November 23,160.8,488.65000000000003,May 03
Chipata,2011,351.6,December 17,130.25,481.85,April 25
Chipata,2012,311.85,November 07,180.85,492.70000000000005,May 06
Chipata,2013,335.0,December 01,151.25,486.25,May 01
Chipata,2014,325.0,November 21,166.55,491.55,May 06
Chipata,2015,326.0,November 22,164.85,490.85,May 04
Chipata,2016,330.0,November 26,163.95,493.95,May 07
Chipata,2017,333.45,November 29,161.35,494.79999999999995,May 09
