,district,year,population,pop_growth
209,Namwala,2001,87190.5078125,0.02584365836319602
324,Namwala,2002,88054.8359375,0.00991309887606917
439,Namwala,2003,89728.953125,0.01901221176186474
554,Namwala,2004,91559.125,0.020396670319449806
669,Namwala,2005,92986.375,0.015588287895936137
784,Namwala,2006,94789.21875,0.019388257150577237
899,Namwala,2007,96451.8515625,0.017540315601556777
1014,Namwala,2008,98421.953125,0.020425751611656606
1129,Namwala,2009,100227.890625,0.01834892971191482
1244,Namwala,2010,101936.9765625,0.017051999466840106
1359,Namwala,2011,103970.2421875,0.01994630107312778
1474,Namwala,2012,105661.6484375,0.01626817649370982
1589,Namwala,2013,107716.8671875,0.01945094346332943
1704,Namwala,2014,109732.5234375,0.018712540594885585
1819,Namwala,2015,111409.7734375,0.015284894099380608
1934,Namwala,2016,113832.9140625,0.021749803004126544
2049,Namwala,2017,115361.5078125,0.013428398654195206
2164,Namwala,2018,116859.7578125,0.012987434269974507
2279,Namwala,2019,118560.84375,0.014556644385908868
2394,Namwala,2020,119812.0546875,0.010553323491340194
44,Nchelenge,2000,121260.59375,
159,Nchelenge,2001,125168.5625,0.03222785431891384
274,Nchelenge,2002,128935.1015625,0.03009173379697483
389,Nchelenge,2003,132551.078125,0.028044935154816653
504,Nchelenge,2004,136245.390625,0.027870859688641225
619,Nchelenge,2005,139825.640625,0.026277953210573024
734,Nchelenge,2006,143733.90625,0.027950993877307706
849,Nchelenge,2007,147805.09375,0.028324475457578435
964,Nchelenge,2008,152056.375,0.028762751960299093
1079,Nchelenge,2009,156415.59375,0.028668437939546987
1194,Nchelenge,2010,161061.15625,0.029700123808787504
1309,Nchelenge,2011,165976.5,0.030518492878384595
1424,Nchelenge,2012,170320.09375,0.0261699321891955
1539,Nchelenge,2013,175250.78125,0.028949534910645225
1654,Nchelenge,2014,180041.03125,0.02733368699319283
1769,Nchelenge,2015,184801.671875,0.026441975987071098
1884,Nchelenge,2016,190030.8125,0.02829595951132413
1999,Nchelenge,2017,194753.359375,0.024851479677802324
2114,Nchelenge,2018,199326.3125,0.023480740664374
2229,Nchelenge,2019,204044.25,0.023669416449973113
2344,Nchelenge,2020,208389.78125,0.02129700420374503
20,Ndola,2000,361217.90625,
135,Ndola,2001,371562.6875,0.028638616942872064
250,Ndola,2002,382030.375,0.028172063159598082
365,Ndola,2003,392412.40625,0.02717593136409646
480,Ndola,2004,404381.5,0.030501313310605793
595,Ndola,2005,413672.46875,0.022975751239856512
710,Ndola,2006,428072.5625,0.03481037496527861
825,Ndola,2007,438006.5625,0.023206346003546985
940,Ndola,2008,449739.875,0.026787983342144495
1055,Ndola,2009,465308.1875,0.03461626012147567
1170,Ndola,2010,476501.8125,0.02405636801737998
1285,Ndola,2011,490968.15625,0.030359472662026876
1400,Ndola,2012,504299.4375,0.027153046649346813
1515,Ndola,2013,519346.125,0.029836811983356526
1630,Ndola,2014,533434.625,0.027127380607682383
1745,Ndola,2015,545319.4375,0.02227979201762542
1860,Ndola,2016,562492.0,0.031490831463347524
1975,Ndola,2017,576101.4375,0.024194899660795244
2090,Ndola,2018,591008.125,0.0258751090167173
2205,Ndola,2019,604826.1875,0.023380494980504762
2320,Ndola,2020,618665.5625,0.022881573724848003
9,Ngabwe,2000,45899.13671875,
124,Ngabwe,2001,46037.78125,0.003020634834584257
239,Ngabwe,2002,45574.796875,-0.010056617900107812
354,Ngabwe,2003,47039.84375,0.03214598803409374
469,Ngabwe,2004,48507.578125,0.031201939844878845
584,Ngabwe,2005,48823.81640625,0.006519358283257892
699,Ngabwe,2006,48895.82421875,0.001474850140776418
814,Ngabwe,2007,52056.6015625,0.06464309364352516
929,Ngabwe,2008,51452.4921875,-0.011604856192440782
1044,Ngabwe,2009,53056.05859375,0.03116596180426745
1159,Ngabwe,2010,52520.77734375,-0.010088975023543445
1274,Ngabwe,2011,49338.08984375,-0.060598636596126854
1389,Ngabwe,2012,49614.24609375,0.005597222163941984
1504,Ngabwe,2013,51995.07421875,0.047986784289762996
1619,Ngabwe,2014,54582.02734375,0.049753811565233175
1734,Ngabwe,2015,54429.390625,-0.0027964648104533696
1849,Ngabwe,2016,56120.796875,0.031075237671742695
1964,Ngabwe,2017,57392.0234375,0.022651612829579948
2079,Ngabwe,2018,56631.5703125,-0.013250153583243773
2194,Ngabwe,2019,57986.01953125,0.023916857881142617
2309,Ngabwe,2020,58517.30078125,0.009162230039150732
109,Nkeyema,2000,36585.43359375,
224,Nkeyema,2001,37220.01171875,0.01734510330112382
339,Nkeyema,2002,38995.078125,0.04769118343280354
454,Nkeyema,2003,39052.72265625,0.0014782514620235165
569,Nkeyema,2004,37998.25,-0.027001258414981244
684,Nkeyema,2005,39156.3828125,0.03047858289526495
799,Nkeyema,2006,37674.21484375,-0.037852525240836155
914,Nkeyema,2007,38354.2734375,0.0180510356107082
1029,Nkeyema,2008,40202.81640625,0.04819653204387464
1144,Nkeyema,2009,37430.04296875,-0.06896963161687697
1259,Nkeyema,2010,39862.0078125,0.06497360544791309
1374,Nkeyema,2011,38417.8984375,-0.03622771290881022
1489,Nkeyema,2012,41533.50390625,0.08109775899945726
1604,Nkeyema,2013,45406.6484375,0.09325349818769246
