district,season_year,mean_growing_spei,median_growing_spei,n_months,province,province_avg_start_date,province_avg_end_date
Nyimba,2021,-0.48192407190799713,-0.4965336173772812,4,Eastern,November 26,May 04
Pemba,2000,1.0317339641707284,1.047382950782776,7,Southern,October 16,March 04
Pemba,2001,0.7990446209907531,0.6858614087104797,5,Southern,October 16,March 04
Pemba,2002,0.0422780942171812,-0.008417714387178449,4,Southern,October 16,March 04
Pemba,2003,0.14572188705205913,0.146074503660202,5,Southern,October 16,March 04
Pemba,2004,-0.4534949466586114,-0.6411880254745483,5,Southern,October 16,March 04
Pemba,2005,-0.42806451395154,-0.45702963322401047,4,Southern,October 16,March 04
Pemba,2006,0.5962365627288818,0.4273124039173126,5,Southern,October 16,March 04
Pemba,2007,1.2365209261576335,1.2423439025878906,6,Southern,October 16,March 04
Pemba,2008,1.4970394372940063,1.486586332321167,6,Southern,October 16,March 04
Pemba,2009,1.7606747945149739,1.7314774990081787,6,Southern,October 16,March 04
Pemba,2010,1.9623980283737184,1.9154999256134035,5,Southern,October 16,March 04
Pemba,2011,1.1730780005455017,1.0977781414985657,4,Southern,October 16,March 04
Pemba,2012,0.9667515277862548,0.9762071371078492,5,Southern,October 16,March 04
Pemba,2013,0.7559121191501618,0.8270300030708313,5,Southern,October 16,March 04
Pemba,2014,-0.03275164850056169,-0.0195398721843957,5,Southern,October 16,March 04
Pemba,2015,-0.59509197473526,-0.5350595116615295,5,Southern,October 16,March 04
Pemba,2016,-0.25022365562617777,-0.2148184478282928,5,Southern,October 16,March 04
Pemba,2017,0.14059749543666836,0.1765956878662109,5,Southern,October 16,March 04
Pemba,2018,-0.38196417861618104,-0.3435088396072387,5,Southern,October 16,March 04
Pemba,2019,-0.47664282470941544,-0.44413623213768005,4,Southern,October 16,March 04
Pemba,2020,-0.2929404849807421,-0.3805700242519378,3,Southern,October 16,March 04
Pemba,2021,-1.2562233567237855,-1.3844977617263794,5,Southern,October 16,March 04
Petauke,2000,1.08876238266627,1.0862047672271729,6,Eastern,November 26,May 04
Petauke,2001,0.4821391701698303,0.5244064927101135,5,Eastern,November 26,May 04
Petauke,2002,0.19896345771849155,0.1055880486965179,5,Eastern,November 26,May 04
Petauke,2003,0.16139983646571632,0.1375291049480438,5,Eastern,November 26,May 04
Petauke,2004,-0.10075056702563809,-0.0031665519345551,7,Eastern,November 26,May 04
Petauke,2005,-0.46258643455803394,-0.5281930416822433,4,Eastern,November 26,May 04
Petauke,2006,0.8534263471762339,0.9136254489421844,6,Eastern,November 26,May 04
Petauke,2007,1.3754501581192016,1.2890522480010986,5,Eastern,November 26,May 04
Petauke,2008,0.805171674489975,0.6523116230964661,5,Eastern,November 26,May 04
Petauke,2009,1.9202277064323425,2.0144896507263184,6,Eastern,November 26,May 04
Petauke,2010,1.6306638717651367,1.384840965270996,5,Eastern,November 26,May 04
Petauke,2011,1.0419915169477463,1.054785668849945,4,Eastern,November 26,May 04
Petauke,2012,1.1218982636928558,1.1731749176979065,6,Eastern,November 26,May 04
Petauke,2013,-0.1766524761915207,-0.3927470445632934,5,Eastern,November 26,May 04
Petauke,2014,-1.0160053491592407,-0.9975796341896056,5,Eastern,November 26,May 04
Petauke,2015,-1.5534722566604615,-1.6345714330673218,5,Eastern,November 26,May 04
Petauke,2016,-1.2093674778938293,-1.1098170280456543,5,Eastern,November 26,May 04
Petauke,2017,-0.6540679097175598,-0.5937362909317017,5,Eastern,November 26,May 04
Petauke,2018,-0.3856326180199782,-0.44149038195610046,6,Eastern,November 26,May 04
Petauke,2019,0.021132624452002355,-0.0129114910960197,5,Eastern,November 26,May 04
Petauke,2020,-0.20803169719874853,-0.2605555355548858,5,Eastern,November 26,May 04
Petauke,2021,-0.35073679173365235,-0.30590420216321945,4,Eastern,November 26,May 04
Rufunsa,2000,1.8182290991147358,1.8127331733703613,6,Lusaka,November 07,March 31
Rufunsa,2001,1.388755989074707,1.3385236263275146,5,Lusaka,November 07,March 31
Rufunsa,2002,0.6405618339776993,0.5736818909645081,4,Lusaka,November 07,March 31
Rufunsa,2003,0.6342545926570893,0.6891940832138062,5,Lusaka,November 07,March 31
Rufunsa,2004,-0.16680588126182555,-0.3441101610660553,5,Lusaka,November 07,March 31
Rufunsa,2005,-0.47965017333626747,-0.5767016708850861,4,Lusaka,November 07,March 31
Rufunsa,2006,0.10658572204411029,0.0157736558467149,5,Lusaka,November 07,March 31
Rufunsa,2007,0.7030672580003738,0.6618034839630127,4,Lusaka,November 07,March 31
Rufunsa,2008,0.6690583944320678,0.5844880938529968,5,Lusaka,November 07,March 31
Rufunsa,2009,1.4673919280370076,1.4376792311668396,6,Lusaka,November 07,March 31
Rufunsa,2010,1.7240612745285033,1.5323898792266846,5,Lusaka,November 07,March 31
Rufunsa,2011,0.6950704604387283,0.7486386001110077,4,Lusaka,November 07,March 31
Rufunsa,2012,0.5411924719810486,0.4614163041114807,5,Lusaka,November 07,March 31
Rufunsa,2013,-0.048886434640735374,-0.12146273534744974,4,Lusaka,November 07,March 31
Rufunsa,2014,-0.561927416920662,-0.4955059885978699,5,Lusaka,November 07,March 31
Rufunsa,2015,-0.6906256914138794,-0.6522632837295532,5,Lusaka,November 07,March 31
Rufunsa,2016,-0.22168236137367786,-0.2184784114360809,5,Lusaka,November 07,March 31
Rufunsa,2017,0.37576802372932433,0.4849336743354797,5,Lusaka,November 07,March 31
Rufunsa,2018,-0.02837012770275275,-0.07629025168716905,6,Lusaka,November 07,March 31
Rufunsa,2019,-0.08486507181078196,-0.07629025168716905,4,Lusaka,November 07,March 31
Rufunsa,2020,-0.31027757823467256,-0.3207501173019409,5,Lusaka,November 07,March 31
Rufunsa,2021,-0.6587320622056723,-0.8330672085285187,4,Lusaka,November 07,March 31
Samfya,2000,0.9866234404700143,1.039793610572815,7,Luapula,November 10,May 14
Samfya,2001,0.19464058925708136,0.1489399448037147,6,Luapula,November 10,May 14
