,district,year,spei,mean_growing_period
780,Kapiri Mposhi,2010,1.6230893333333334,152.40366972477065
781,Kapiri Mposhi,2011,1.6171678250000001,129.4862385321101
782,Kapiri Mposhi,2012,1.3379939833333332,176.6697247706422
783,Kapiri Mposhi,2013,0.9723118574999999,169.41284403669724
784,Kapiri Mposhi,2014,-0.10581227033333333,162.30275229357798
785,Kapiri Mposhi,2015,-0.5050688483333333,152.8256880733945
786,Kapiri Mposhi,2016,-0.8068322591666667,160.03669724770643
787,Kapiri Mposhi,2017,0.11286592458333333,158.39449541284404
788,Kapiri Mposhi,2018,0.8418278483333334,168.08256880733944
789,Kapiri Mposhi,2019,0.34360615166666664,145.13761467889907
790,Kapiri Mposhi,2020,0.011853104833333338,167.27522935779817
791,Kapiri Mposhi,2021,-0.10101171914166666,150.08256880733944
792,Kaputa,2000,-0.15759602725,193.46774193548387
793,Kaputa,2001,-0.21437711583333333,195.1935483870968
794,Kaputa,2002,-0.4453725695833333,194.5483870967742
795,Kaputa,2003,-0.6469019016666667,174.46774193548387
796,Kaputa,2004,-0.5273210758333333,217.9516129032258
797,Kaputa,2005,-0.3885853625,198.1290322580645
798,Kaputa,2006,-1.330790975,230.9032258064516
799,Kaputa,2007,-0.5098685083333333,224.46774193548387
800,Kaputa,2008,-0.19829868475,209.1935483870968
801,Kaputa,2009,-0.4593216191666667,192.58064516129036
802,Kaputa,2010,-0.23467584633333335,210.38709677419357
803,Kaputa,2011,-1.052745675,166.16129032258064
804,Kaputa,2012,-1.241923375,222.6290322580645
805,Kaputa,2013,-0.7764200116666666,190.56451612903223
806,Kaputa,2014,0.27677183666666666,162.88709677419354
807,Kaputa,2015,0.6242020475,180.9032258064516
808,Kaputa,2016,0.8798820797500001,197.79032258064515
809,Kaputa,2017,-0.028813946349999998,154.51612903225808
810,Kaputa,2018,-0.18978188483333333,203.3709677419355
811,Kaputa,2019,0.43694390083333334,178.1451612903226
812,Kaputa,2020,0.9105683233333334,194.74193548387095
813,Kaputa,2021,1.2711231666666667,182.06451612903223
814,Kasama,2000,-0.08683484874999998,178.9140625
815,Kasama,2001,1.1332546116666666,183.578125
816,Kasama,2002,-0.6571015316666666,175.1875
817,Kasama,2003,-0.07077999616666666,165.1875
818,Kasama,2004,0.4675597966666667,180.9375
819,Kasama,2005,0.029733902500000003,152.6171875
820,Kasama,2006,-0.25701556416666665,202.8671875
821,Kasama,2007,0.6181984741666667,198.265625
822,Kasama,2008,0.3339833683333333,166.3515625
823,Kasama,2009,-0.27005718,176.8671875
824,Kasama,2010,0.13421819166666668,160.078125
825,Kasama,2011,-1.5224039166666667,149.984375
826,Kasama,2012,-1.5579055416666667,195.421875
827,Kasama,2013,-1.3488349499999999,179.2109375
828,Kasama,2014,-0.6003620024999999,167.6875
829,Kasama,2015,-0.596372205,174.8203125
830,Kasama,2016,-0.24173878533333334,176.484375
831,Kasama,2017,-0.8058692375000001,166.9140625
832,Kasama,2018,-1.1021899491666667,169.8984375
833,Kasama,2019,-0.3892579308333333,166.796875
834,Kasama,2020,0.5024494475,169.4765625
835,Kasama,2021,1.180058315,167.6015625
836,Kasempa,2000,-0.15008813416666666,174.4679245283019
837,Kasempa,2001,0.9206248491666668,182.0981132075472
838,Kasempa,2002,0.4274368933333333,179.23396226415093
839,Kasempa,2003,0.16452274366666667,177.3698113207547
840,Kasempa,2004,0.6698087225,167.30188679245282
841,Kasempa,2005,-1.1304041166666667,166.67924528301887
842,Kasempa,2006,-0.5361797341666666,172.64150943396226
843,Kasempa,2007,0.015417726333333338,173.30943396226414
