,Unnamed: 0,district,season_year,mean_growing_spei,median_growing_spei,n_months,province,province_avg_start_date,province_avg_end_date
297,297,Chinsali,2011,-1.35844662,-1.4129484,5,Muchinga,November 24,May 12
298,298,Chinsali,2012,-1.1085529,-1.11304005,6,Muchinga,November 24,May 12
299,299,Chinsali,2013,-1.2920577933333337,-1.1887331,6,Muchinga,November 24,May 12
300,300,Chinsali,2014,-0.96934709,-0.95662637,6,Muchinga,November 24,May 12
301,301,Chinsali,2015,-0.97950191,-0.94942808,6,Muchinga,November 24,May 12
302,302,Chinsali,2016,-1.1244509500000002,-1.05980715,6,Muchinga,November 24,May 12
303,303,Chinsali,2017,-0.9877326833333332,-1.02196108,6,Muchinga,November 24,May 12
304,304,Chinsali,2018,-0.464885668,-0.53379506,5,Muchinga,November 24,May 12
305,305,Chinsali,2019,0.1981599824,0.27309093,5,Muchinga,November 24,May 12
306,306,Chinsali,2020,1.2153434,1.2330586,5,Muchinga,November 24,May 12
307,307,Chinsali,2021,1.0075823666666668,1.1968903000000002,6,Muchinga,November 24,May 12
308,308,Chipangali,2000,-0.3020552276666666,-0.286369985,6,Eastern,November 26,May 04
309,309,Chipangali,2001,-0.5202081300000001,-0.46951795,5,Eastern,November 26,May 04
310,310,Chipangali,2002,0.0670555652,0.090911336,5,Eastern,November 26,May 04
311,311,Chipangali,2003,0.4041617819999999,0.41086882,5,Eastern,November 26,May 04
312,312,Chipangali,2004,0.4746449175,0.54354248,6,Eastern,November 26,May 04
313,313,Chipangali,2005,-0.2292101919999999,-0.19137809,5,Eastern,November 26,May 04
314,314,Chipangali,2006,0.6097189033333333,0.67544927,6,Eastern,November 26,May 04
315,315,Chipangali,2007,1.10556425,1.14955235,4,Eastern,November 26,May 04
316,316,Chipangali,2008,0.3593242371999999,0.3702989,5,Eastern,November 26,May 04
317,317,Chipangali,2009,1.8344471166666665,1.9606356,6,Eastern,November 26,May 04
