district,year,mean_growing_period
Livingstone,2008,143.0
Mazabuka,2008,152.04347826086956
Monze,2008,154.95
Namwala,2008,151.9848484848485
Pemba,2008,159.76
Siavonga,2008,154.47826086956522
Sinazongwe,2008,152.95081967213116
Zimba,2008,148.97014925373134
Kalabo,2008,162.07627118644066
Kaoma,2008,162.3272727272727
Limulunga,2008,163.9090909090909
Luampa,2008,157.82539682539684
Lukulu,2008,164.76923076923077
Mitete,2008,168.46052631578948
Mongu,2008,161.17333333333335
Mulobezi,2008,154.17333333333335
Mwandi,2008,149.88311688311688
Nalolo,2008,159.135593220339
Nkeyema,2008,158.6
Senanga,2008,157.46564885496184
Sesheke,2008,153.93525179856115
Shang'ombo,2008,157.98969072164948
Sikongo,2008,160.3695652173913
Sioma,2008,156.41
Chibombo,2009,161.25454545454545
Chisamba,2009,161.57142857142858
Chitambo,2009,185.93661971830986
Itezhi-tezhi,2009,159.1010101010101
Kabwe,2009,163.33333333333334
Kapiri Mposhi,2009,167.59633027522935
Luano,2009,163.42735042735043
Mkushi,2009,171.62
Mumbwa,2009,164.28691983122363
Ngabwe,2009,165.975
Serenje,2009,186.26666666666668
Chililabombwe,2009,207.0
Chingola,2009,206.85714285714286
Kalulushi,2009,207.41666666666666
Kitwe,2009,207.53333333333333
Luanshya,2009,207.11111111111111
Lufwanyama,2009,207.43410852713177
Masaiti,2009,202.6818181818182
Mpongwe,2009,191.10714285714286
Mufulira,2009,207.25
Ndola,2009,206.07692307692307
Chadiza,2009,179.375
Chasefu,2009,177.92307692307693
Chipangali,2009,175.58064516129033
Chipata,2009,179.45
Kasenengwa,2009,174.0909090909091
Katete,2009,175.13333333333333
Lumezi,2009,173.29508196721312
Lundazi,2009,175.2941176470588
Mambwe,2009,170.83098591549296
Nyimba,2009,165.43307086614172
Petauke,2009,176.52272727272728
Sinda,2009,172.33333333333334
Vubwi,2009,179.8181818181818
Chembe,2009,201.25
Chiengi,2009,193.41304347826087
Chifunabuli,2009,194.75675675675674
Chipili,2009,197.0
Kawambwa,2009,193.87234042553192
Lunga,2009,194.7906976744186
Mansa,2009,199.52173913043478
Milengi,2009,205.44
Mwansabombwe,2009,194.0625
Mwense,2009,197.96153846153845
Nchelenge,2009,192.28571428571428
Samfya,2009,203.575
Chilanga,2009,160.8235294117647
Chirundu,2009,151.22727272727272
Chongwe,2009,160.92857142857142
Kafue,2009,156.89473684210526
Luangwa,2009,157.79166666666666
Lusaka,2009,162.5
Rufunsa,2009,162.54782608695652
Shibuyunji,2009,159.9
Chama,2009,169.27830188679246
Chinsali,2009,172.03846153846155
Isoka,2009,181.38709677419354
Kanchibiya,2009,174.80582524271844
Lavushimanda,2009,182.52023121387282
Mafinga,2009,181.51063829787233
Mpika,2009,172.83009708737865
Nakonde,2009,187.31372549019608
Shiwamg'andu,2009,173.58715596330276
Chavuma,2009,189.35185185185185
Ikelenge,2009,226.79166666666666
Kabompo,2009,193.98823529411766
Kalumbila,2009,203.4904458598726
Kasempa,2009,185.65283018867925
Manyinga,2009,197.6021505376344
Mufumbwe,2009,194.0134529147982
Mushindano,2009,202.43859649122808
Mwinilunga,2009,220.81900452488688
Solwezi,2009,203.42176870748298
Zambezi,2009,190.6508875739645
Chilubi,2009,187.08064516129033
Kaputa,2009,192.58064516129033
Kasama,2009,176.8671875
Lunte District,2009,190.76842105263157
Lupososhi,2009,195.52173913043478
Luwingu,2009,186.94736842105263
Mbala,2009,185.47368421052633
Mporokoso,2009,193.36170212765958
Mpulungu,2009,186.58536585365854
Mungwi,2009,176.49565217391304
Nsama,2009,189.95604395604394
Senga Hill,2009,185.05172413793105
Chikankanta,2009,157.13888888888889
Choma,2009,161.135593220339
Gwembe,2009,159.35416666666666
Kalomo,2009,159.92
Kazungula,2009,157.40178571428572
Livingstone,2009,156.44444444444446
Mazabuka,2009,157.17391304347825
Monze,2009,158.41666666666666
Namwala,2009,156.36363636363637
Pemba,2009,162.68
Siavonga,2009,154.47826086956522
Sinazongwe,2009,158.8360655737705
Zimba,2009,162.91044776119404
Kalabo,2009,185.44915254237287
Kaoma,2009,189.56363636363636
Limulunga,2009,188.9090909090909
Luampa,2009,183.81746031746033
Lukulu,2009,190.5042735042735
Mitete,2009,188.1315789473684
Mongu,2009,188.42666666666668
Mulobezi,2009,169.53333333333333
Mwandi,2009,154.88311688311688
Nalolo,2009,181.32203389830508
Nkeyema,2009,187.2
Senanga,2009,179.41221374045801
Sesheke,2009,157.0359712230216
Shang'ombo,2009,162.88659793814432
Sikongo,2009,176.5108695652174
Sioma,2009,162.17
Chibombo,2010,152.13636363636363
Chisamba,2010,151.06349206349208
Chitambo,2010,159.08450704225353
Itezhi-tezhi,2010,165.72222222222223
Kabwe,2010,151.44444444444446
Kapiri Mposhi,2010,152.40366972477065
Luano,2010,153.76068376068375
Mkushi,2010,154.33
Mumbwa,2010,160.0801687763713
Ngabwe,2010,158.6875
Serenje,2010,157.9111111111111
Chililabombwe,2010,173.75
Chingola,2010,173.9047619047619
Kalulushi,2010,173.25
Kitwe,2010,171.46666666666667
Luanshya,2010,168.44444444444446
Lufwanyama,2010,171.72868217054264
Masaiti,2010,157.70454545454547
Mpongwe,2010,165.22321428571428
Mufulira,2010,172.25
Ndola,2010,164.69230769230768
Chadiza,2010,161.6875
Chasefu,2010,160.42307692307693
Chipangali,2010,156.3548387096774
Chipata,2010,160.8
Kasenengwa,2010,159.1818181818182
Katete,2010,160.36666666666667
Lumezi,2010,158.99180327868854
Lundazi,2010,161.41176470588235
Mambwe,2010,158.5211267605634
Nyimba,2010,152.21259842519686
Petauke,2010,157.13636363636363
Sinda,2010,159.33333333333334
Vubwi,2010,161.54545454545453
Chembe,2010,175.16666666666666
Chiengi,2010,218.08695652173913
Chifunabuli,2010,183.78378378378378
Chipili,2010,183.50943396226415
Kawambwa,2010,200.59574468085106
Lunga,2010,176.04651162790697
Mansa,2010,179.3913043478261
Milengi,2010,179.14666666666668
Mwansabombwe,2010,205.25
Mwense,2010,181.69230769230768
Nchelenge,2010,217.24489795918367
Samfya,2010,180.45
Chilanga,2010,149.7058823529412
Chirundu,2010,149.72727272727272
Chongwe,2010,151.5
Kafue,2010,149.75438596491227
Luangwa,2010,145.52083333333334
Lusaka,2010,151.5
Rufunsa,2010,154.0
Shibuyunji,2010,148.2
Chama,2010,153.56603773584905
Chinsali,2010,151.98717948717947
Isoka,2010,170.4516129032258
Kanchibiya,2010,155.8640776699029
Lavushimanda,2010,159.82658959537574
Mafinga,2010,177.74468085106383
Mpika,2010,158.05825242718447
Nakonde,2010,173.72549019607843
Shiwamg'andu,2010,153.1834862385321
Chavuma,2010,203.5185185185185
Ikelenge,2010,215.75
Kabompo,2010,193.2235294117647
Kalumbila,2010,186.47770700636943
Kasempa,2010,167.26037735849056
Manyinga,2010,192.23655913978496
Mufumbwe,2010,173.0403587443946
Mushindano,2010,174.66666666666666
Mwinilunga,2010,203.15837104072398
Solwezi,2010,177.7482993197279
Zambezi,2010,199.97041420118344
Chilubi,2010,171.70967741935485
Kaputa,2010,210.38709677419354
Kasama,2010,160.078125
Lunte District,2010,182.62105263157895
Lupososhi,2010,182.8695652173913
Luwingu,2010,171.7017543859649
Mbala,2010,172.78947368421052
Mporokoso,2010,200.29787234042553
Mpulungu,2010,177.260162601626
Mungwi,2010,158.8
Nsama,2010,193.3186813186813
Senga Hill,2010,166.91379310344828
Chikankanta,2010,151.16666666666666
Choma,2010,168.40677966101694
Gwembe,2010,156.97916666666666
Kalomo,2010,173.19
Kazungula,2010,168.26785714285714
Livingstone,2010,167.44444444444446
Mazabuka,2010,147.7391304347826
Monze,2010,151.95
Namwala,2010,159.07575757575756
Pemba,2010,162.56
Siavonga,2010,152.82608695652175
Sinazongwe,2010,160.52459016393442
Zimba,2010,166.92537313432837
Kalabo,2010,181.77966101694915
Kaoma,2010,181.34545454545454
Limulunga,2010,183.27272727272728
Luampa,2010,176.73809523809524
Lukulu,2010,186.04273504273505
Mitete,2010,188.8815789473684
Mongu,2010,181.13333333333333
Mulobezi,2010,171.20666666666668
Mwandi,2010,160.11688311688312
Nalolo,2010,178.61016949152543
Nkeyema,2010,173.06666666666666
Senanga,2010,176.793893129771
Sesheke,2010,166.57553956834533
Shang'ombo,2010,176.36082474226805
Sikongo,2010,180.95652173913044
Sioma,2010,172.82
Chibombo,2011,120.97272727272727
Chisamba,2011,117.65079365079364
Chitambo,2011,136.25352112676057
Itezhi-tezhi,2011,109.9040404040404
Kabwe,2011,125.66666666666667
Kapiri Mposhi,2011,129.4862385321101
Luano,2011,120.35897435897436
Mkushi,2011,127.63
Mumbwa,2011,121.37552742616033
Ngabwe,2011,134.175
Serenje,2011,130.92592592592592
Chililabombwe,2011,152.6875
Chingola,2011,152.95238095238096
Kalulushi,2011,151.75
Kitwe,2011,150.46666666666667
Luanshya,2011,148.55555555555554
Lufwanyama,2011,150.2015503875969
Masaiti,2011,136.5909090909091
Mpongwe,2011,141.51785714285714
Mufulira,2011,151.0
Ndola,2011,141.69230769230768
Chadiza,2011,127.5
Chasefu,2011,143.19230769230768
Chipangali,2011,131.29032258064515
Chipata,2011,130.25
Kasenengwa,2011,127.45454545454545
Katete,2011,126.43333333333334
Lumezi,2011,137.7704918032787
Lundazi,2011,143.0
Mambwe,2011,127.85915492957747
Nyimba,2011,120.26771653543307
Petauke,2011,124.125
Sinda,2011,124.78787878787878
Vubwi,2011,127.45454545454545
Chembe,2011,151.125
