district,corr_lag1,pval_lag1,slope_lag1,r2_lag1,corr_lag2,pval_lag2,slope_lag2,r2_lag2,corr_lag3,pval_lag3,slope_lag3,r2_lag3,corr_lag4,pval_lag4,slope_lag4,r2_lag4,corr_lag5,pval_lag5,slope_lag5,r2_lag5
Mufulira,0.05187225153307005,0.8280615983507765,0.12803301417164833,0.002690730479110088,-0.2912104611755644,0.22642656030239294,-0.7181010583320985,0.08480353269808488,-0.2553581284281138,0.306450477587512,-0.628868857970592,0.06520777375430906,-0.38363719093229376,0.1284715101663869,-0.9254403595036215,0.1471774942664212,-0.46242845193277055,0.07130779907842451,-1.1164074021012278,0.21384007315693868
Mufumbwe,-0.013069768218111033,0.9563868333553682,-0.002750111212598179,0.00017081884127514527,-0.1169983217967872,0.6333582038315505,-0.024511608612440595,0.01368860730326457,-0.20578592652733013,0.4126609408181827,-0.042975282044212304,0.04234784755671171,-0.4732994058704944,0.05499223506997008,-0.09800436533307119,0.224012327597363,-0.42859082598283804,0.09764699950977597,-0.09047384986726832,0.18369009611665135
Mumbwa,-0.47788043619473997,0.03308236885257829,-0.3040228011513081,0.22836971129767494,-0.3744099930132858,0.11426815091516218,-0.23567664843766575,0.14018284286820873,-0.2863547767524811,0.2493174930716751,-0.1814843015346058,0.0819990581689633,-0.17063709175035727,0.5126001660229751,-0.10510890840493203,0.029117017081019846,-0.16671149408786579,0.5371713589188957,-0.10163510589986237,0.02779272226100851
Mungwi,0.405102559716316,0.07641286415749202,0.26334069624499434,0.16410808388871134,-0.014713628977345851,0.952327679641326,-0.011640449128415248,0.00021649087768299153,0.054396485984252924,0.8302551611064537,0.04371709155158796,0.002958977687435025,-0.2548096424315862,0.3236413611947485,-0.19136978110356634,0.06492795387611282,-0.46791431600598293,0.06758273720204282,-0.3535287167402696,0.21894380712334685
Mwense,0.08561260296317114,0.7196861286171716,0.0650047383138306,0.007329517786129579,-0.5041027936261159,0.027751770242602718,-0.41008459414156406,0.2541196265416544,-0.18758017055080856,0.456056435451228,-0.1498418628989475,0.03518632038387043,-0.5304258240065155,0.028494075072038043,-0.4080453794501123,0.28135155477299095,-0.31152914289841993,0.24017427167558097,-0.24824783292594121,0.09705040687502414
Mwinilunga,0.3069633319690052,0.18802595684881537,0.08960020971848391,0.0942264871735137,0.35522553612620417,0.13558108751154857,0.10984007092354836,0.1261851815161492,0.3178355452144781,0.19868922950593962,0.09738236689993213,0.10101943380178455,0.14544075265812237,0.5775501192353287,0.04399541215389367,0.021153012533761128,-0.010342338582938149,0.9696763675316977,-0.0031056188657927527,0.00010696396736413107
Nakonde,0.32946975132920664,0.1560359867702379,0.5953080436174565,0.10855031704092925,0.07015166137334929,0.7753560540431346,0.16027528706359365,0.0049212555934410665,0.35742005522515885,0.14534975048501828,0.9182541727048572,0.1277490958771556,-0.250616527761367,0.33193971342982853,-0.6540463321826894,0.06280864398716404,-0.2834038362581427,0.287481366074144,-0.7395237142345653,0.08031773440583216
Namwala,0.2902763248766835,0.2144161696255867,0.28481936717463324,0.08426034478391389,0.20438497922971982,0.40128689635279435,0.20437082477985635,0.041773219734733004,0.05250173588048186,0.8360905843177064,0.053083656847678296,0.0027564322704638766,-0.19664835990160967,0.449363540088357,-0.2020973512500132,0.038670577451993,-0.6491529883707273,0.0065083768244833815,-0.6717101303689162,0.42139960231064566
Nchelenge,0.12439589220889381,0.601300214476725,0.30128767659378947,0.01547433799844673,-0.16551547430078417,0.49829169682752916,-0.4467003968936315,0.027395372233013547,0.30915663930262316,0.21190804940201388,0.828559652096116,0.09557782762489224,-0.29882276622251247,0.24398090610912623,-0.7933537235507335,0.08929504561287434,-0.08881545374648318,0.7435991573973355,-0.2606089606188566,0.007888184824193694
Ndola,-0.188372167044921,0.4264148289057631,-1.0370081219183642,0.03548407331719962,-0.26177099106060203,0.27899124334974,-1.4231898973746953,0.06852405176084979,-0.16317846426326477,0.5176546757574978,-0.8679861830296585,0.026627211199317578,-0.26493841447183614,0.3041016875313962,-1.3545477596400033,0.07019236346285043,-0.267959006954242,0.3156690679994303,-1.3248815260303564,0.07180202940790352
Nyimba,-0.20284203199615158,0.39106089028727553,-0.023426203578380884,0.04114488994432778,-0.23438591778770912,0.3341191515301729,-0.027289232828285832,0.054936758457186735,-0.2187416437197592,0.3831823754911504,-0.02569943485413609,0.047847906697222074,-0.10814861730374212,0.6794901809761982,-0.01267708037116918,0.011696123424711269,-0.22521644836530336,0.4016694085472635,-0.01960252012926772,0.05072244861428135
Petauke,0.025244491914001632,0.9158650421143326,0.00736676771980188,0.0006372843719960938,0.14546932828862583,0.552369188840381,0.04220710411890751,0.021161325472743995,0.011172062533017536,0.964906596887209,0.00323902990099318,0.0001248149812416542,-0.17164176040470258,0.5100832946730909,-0.049833340948521127,0.02946089391482533,-0.0960065547595477,0.7235686411870701,-0.024525311295754335,0.00921725855679803
Samfya,0.31774792657456913,0.17218818916014997,0.2833716176427772,0.10096374484243778,-0.21840107280519538,0.3690406447097564,-0.19976082979264573,0.04769902860246025,-0.11028008966028208,0.6631108977396529,-0.10016840968056857,0.012161698175479853,-0.3640025293609108,0.15090764998217754,-0.3215311499781097,0.13249784138114074,-0.3156826110152305,0.23362944019371829,-0.2973585970221664,0.09965551089739332
